content_id,content_name,genre,language,content_type,release_year,avg_rating,duration_mins,cast,director
1,Title_1,Horror,Telugu,Movie,2025,9.0,101,"Actor_35, Actor_68",Director_28
2,Title_2,Comedy,Telugu,Short,2019,4.7,172,"Actor_24, Actor_93",Director_4
3,Title_3,Horror,Hindi,Short,2017,5.2,140,"Actor_35, Actor_90",Director_18
4,Title_4,Romance,Hindi,Series,2023,4.9,75,"Actor_1, Actor_88",Director_11
5,Title_5,Action,Tamil,Movie,2024,5.2,160,"Actor_39, Actor_67",Director_23
6,Title_6,Crime,Kannada,Movie,2020,5.2,39,"Actor_30, Actor_63",Director_13
7,Title_7,Drama,Kannada,Movie,2020,5.2,99,"Actor_8, Actor_76",Director_23
8,Title_8,Action,Telugu,Movie,2015,9.3,116,"Actor_20, Actor_63",Director_4
9,Title_9,Thriller,Tamil,Movie,2025,7.7,115,"Actor_49, Actor_94",Director_20
10,Title_10,Comedy,Telugu,Series,2015,5.1,149,"Actor_25, Actor_93",Director_28
11,Title_11,Documentary,Hindi,Series,2025,8.9,124,"Actor_3, Actor_72",Director_18
12,Title_12,Comedy,Telugu,Movie,2017,7.8,125,"Actor_28, Actor_76",Director_6
13,Title_13,Comedy,Hindi,Short,2021,3.3,83,"Actor_20, Actor_86",Director_17
14,Title_14,Romance,Tamil,Series,2024,6.4,92,"Actor_28, Actor_98",Director_29
15,Title_15,Horror,Tamil,Short,2023,9.0,172,"Actor_46, Actor_92",Director_10
16,Title_16,Documentary,Kannada,Series,2023,4.7,111,"Actor_29, Actor_68",Director_27
17,Title_17,Thriller,Kannada,Series,2019,6.9,137,"Actor_4, Actor_97",Director_2
18,Title_18,Action,English,Movie,2023,3.4,38,"Actor_17, Actor_96",Director_21
19,Title_19,SciFi,Hindi,Short,2017,7.8,162,"Actor_50, Actor_67",Director_22
20,Title_20,Crime,English,Series,2019,5.3,73,"Actor_48, Actor_66",Director_5
21,Title_21,Crime,Kannada,Short,2024,6.5,63,"Actor_34, Actor_98",Director_22
22,Title_22,Horror,Tamil,Series,2022,7.5,176,"Actor_9, Actor_89",Director_2
23,Title_23,Thriller,Kannada,Series,2026,3.1,116,"Actor_30, Actor_87",Director_2
24,Title_24,Romance,Kannada,Short,2021,5.3,44,"Actor_4, Actor_81",Director_7
25,Title_25,Crime,Telugu,Movie,2023,3.6,173,"Actor_13, Actor_76",Director_9
26,Title_26,Crime,Tamil,Short,2023,3.2,175,"Actor_49, Actor_70",Director_28
27,Title_27,Horror,Tamil,Series,2017,5.3,69,"Actor_11, Actor_91",Director_26
28,Title_28,Comedy,Kannada,Movie,2018,7.9,161,"Actor_30, Actor_95",Director_21
29,Title_29,SciFi,Hindi,Short,2017,5.4,114,"Actor_27, Actor_91",Director_7
30,Title_30,Romance,Tamil,Series,2025,5.6,29,"Actor_21, Actor_78",Director_5
31,Title_31,Drama,Tamil,Series,2020,7.5,63,"Actor_8, Actor_96",Director_19
32,Title_32,Horror,English,Series,2016,9.0,149,"Actor_33, Actor_86",Director_25
33,Title_33,Action,Hindi,Movie,2021,3.5,102,"Actor_50, Actor_74",Director_23
34,Title_34,Horror,Telugu,Short,2016,5.7,152,"Actor_24, Actor_81",Director_1
35,Title_35,Action,Kannada,Movie,2019,5.3,48,"Actor_21, Actor_59",Director_20
36,Title_36,Documentary,English,Series,2026,8.7,149,"Actor_34, Actor_94",Director_12
